;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
47;CADASTRO;Protocolo unificado;Compromisso;Cadastrar compromisso;;FABRICIO;FUNCIONA;;;;
48;CADASTRO;Protocolo unificado;Juntar;Juntar o protocolo;;FABRICIO;FUNCIONA;;;;
49;CADASTRO;Protocolo unificado;Arquivamento;Arquivar o protocolo;;FABRICIO;FUNCIONA;;;;
50;CADASTRO;Protocolo unificado;Auditoria de acessos;Auditar acessos;;FABRICIO;FUNCIONA;;;;
51;CADASTRO;Protocolo unificado;Último número para pesquisa;Informar o número do último cadastro;;FABRICIO;FUNCIONA;;;;
52;CADASTRO;Protocolo unificado;Minimizar através do ícone;Minimizar tela;;FABRICIO;FUNCIONA;;;;
53;CADASTRO;Protocolo unificado;Restaurar janela minimizada;Maximizar tela;;FABRICIO;FUNCIONA;;;;
54;CADASTRO;Protocolo unificado;Fechar através do ícone;Fechar tela;;FABRICIO;FUNCIONA;;;;
55;CADASTRO;Protocolo unificado;Limpar;Utilizar o botão e verificar se os campos foram limpos;;FABRICIO;FUNCIONA;;;;
56;CADASTRO;Protocolo unificado;Fechar;Utilizar o botão e verificar se a tela foi fechada;;FABRICIO;FUNCIONA;;;;
57;CADASTRO;Atendimento;Cadastrar;Registrar um atendimento;;FABRICIO;FUNCIONA;;;;
58;CADASTRO;Atendimento;Cadastrar pessoa;Registrar uma pessoa;;FABRICIO;FUNCIONA;;;;
59;CADASTRO;Atendimento;Abrir cadastro;Abrir cadastro;;FABRICIO;FUNCIONA;;;;
60;CADASTRO;Atendimento;Abrir pasta digital;Abrir pasta digital;;FABRICIO;FUNCIONA;;;;
61;CADASTRO;Atendimento;Emitir documento;Emitir documento;;FABRICIO;FUNCIONA;;;;
62;CADASTRO;Atendimento;Consulta básica;Consultar cadastro;;FABRICIO;FUNCIONA;;;;
63;CADASTRO;Atendimento;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;FABRICIO;FUNCIONA;;;;
64;CADASTRO;Atendimento;Redistribuir;Redistribuir;;FABRICIO;FUNCIONA;;;;
65;CADASTRO;Atendimento;Copiar cadastro;Copiar cadastro;;FABRICIO;FUNCIONA;;;;
66;CADASTRO;Atendimento;Copiar documento;Copiar documento;;FABRICIO;FUNCIONA;;;;
67;CADASTRO;Atendimento;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;FABRICIO;FUNCIONA;;;;
68;CADASTRO;Atendimento;Emitir recibo;Emitir recibo;;FABRICIO;FUNCIONA;;;;
69;CADASTRO;Atendimento;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;FABRICIO;FUNCIONA;;;;
70;CADASTRO;Atendimento;Evoluir;Evoluir;;FABRICIO;FUNCIONA;;;;
71;CADASTRO;Atendimento;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;FABRICIO;FUNCIONA;;;;
72;CADASTRO;Atendimento;Agenda;Abrir agenda;;FABRICIO;FUNCIONA;;;;
73;CADASTRO;Atendimento;Compromisso;Cadastrar compromisso;;FABRICIO;FUNCIONA;;;;
74;CADASTRO;Atendimento;Auditoria de acessos;Auditar acessos;;FABRICIO;FUNCIONA;;;;
75;CADASTRO;Atendimento;Abas;Testar todas as abas, campo a campo;;FABRICIO;FUNCIONA;;;;
76;CADASTRO;Atendimento;Último número para pesquisa;Informar o número do último cadastro;;FABRICIO;FUNCIONA;;;;
77;CADASTRO;Atendimento;Quebra de texto no campo descrição;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;FABRICIO;FUNCIONA;;;;
78;CADASTRO;Atendimento;Limite do campo descrição;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;FABRICIO;FUNCIONA;;;;
79;CADASTRO;Atendimento;Barra de rolagem no campo descrição;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;FABRICIO;FUNCIONA;;;;
80;CADASTRO;Atendimento;Minimizar através do ícone;Minimizar tela;;FABRICIO;FUNCIONA;;;;
81;CADASTRO;Atendimento;Restaurar janela minimizada;Maximizar tela;;FABRICIO;FUNCIONA;;;;
82;CADASTRO;Atendimento;Fechar através do ícone;Fechar tela;;FABRICIO;FUNCIONA;;;;
83;CADASTRO;Atendimento;Limpar;Utilizar o botão e verificar se os campos foram limpos;;FABRICIO;FUNCIONA;;;;
84;CADASTRO;Atendimento;Fechar;Utilizar o botão e verificar se a tela foi fechada;;FABRICIO;FUNCIONA;;;;
85;CADASTRO;Manifestações;Cadastrar pelo portal da Ouvidoria;Registrar uma manifestação;;FABRICIO;FUNCIONA;;;;
86;CADASTRO;Manifestações;Verificar se o e-mail vai chegar para o solicitante;Verificar se o e-mail vai chegar para o solicitante;;FABRICIO;FUNCIONA;;;;
87;CADASTRO;Manifestações;Verificar se o IP e o horário serão registrados corretamente no ADM;Verificar se o IP e o horário serão registrados corretamente no ADM;;FABRICIO;FUNCIONA;;;;
88;CADASTRO;Manifestações;Cadastrar;Registrar uma manifestação;;FABRICIO;FUNCIONA;;;;
89;CADASTRO;Manifestações;Cadastrar pessoa;Registrar uma pessoa;;FABRICIO;FUNCIONA;;;;
90;CADASTRO;Manifestações;Abrir cadastro;Abrir cadastro;;FABRICIO;FUNCIONA;;;;
91;CADASTRO;Manifestações;Abrir pasta digital;Abrir pasta digital;;FABRICIO;FUNCIONA;;;;
92;CADASTRO;Manifestações;Emitir documento;Emitir documento;;FABRICIO;FUNCIONA;;;;
93;CADASTRO;Manifestações;Consulta básica;Consultar cadastro;;FABRICIO;FUNCIONA;;;;
94;CADASTRO;Manifestações;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;FABRICIO;FUNCIONA;;;;
95;CADASTRO;Manifestações;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;FABRICIO;FUNCIONA;;;;
96;CADASTRO;Manifestações;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;FABRICIO;FUNCIONA;;;;
97;CADASTRO;Manifestações;Evoluir;Evoluir;;FABRICIO;FUNCIONA;;;;
98;CADASTRO;Manifestações;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;FABRICIO;FUNCIONA;;;;
99;CADASTRO;Manifestações;Nível de sigilo no ato da instauração;Verificar se o nível de sigilo é instaurado como público;;FABRICIO;;;;;
100;CADASTRO;Manifestações;Agenda;Abrir agenda;;FABRICIO;FUNCIONA;;;;
101;CADASTRO;Manifestações;Compromisso;Cadastrar compromisso;;FABRICIO;FUNCIONA;;;;
102;CADASTRO;Manifestações;Último número para pesquisa;Informar o número do último cadastro;;FABRICIO;FUNCIONA;;;;
103;CADASTRO;Manifestações;Quebra de texto no campo assunto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;FABRICIO;FUNCIONA;;;;
104;CADASTRO;Manifestações;Limite do campo assunto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;FABRICIO;FUNCIONA;;;;
105;CADASTRO;Manifestações;Barra de rolagem no campo descrição assunto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;FABRICIO;FUNCIONA;;;;
106;CADASTRO;Manifestações;Minimizar através do ícone;Minimizar tela;;FABRICIO;FUNCIONA;;;;
107;CADASTRO;Manifestações;Restaurar janela minimizada;Maximizar tela;;FABRICIO;FUNCIONA;;;;
108;CADASTRO;Manifestações;Fechar através do ícone;Fechar tela;;FABRICIO;FUNCIONA;;;;
109;CADASTRO;Manifestações;Limpar;Utilizar o botão e verificar se os campos foram limpos;;FABRICIO;FUNCIONA;;;;
110;CADASTRO;Manifestações;Fechar;Utilizar o botão e verificar se a tela foi fechada;;FABRICIO;FUNCIONA;;;;
111;CADASTRO;Notícia de Fato;Cadastrar;Registrar uma notícia de fato;;;;;;;
112;CADASTRO;Notícia de Fato;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
113;CADASTRO;Notícia de Fato;Abrir cadastro;Abrir cadastro;;;;;;;
114;CADASTRO;Notícia de Fato;Abrir pasta digital;Abrir pasta digital;;;;;;;
115;CADASTRO;Notícia de Fato;Emitir documento;Emitir documento;;;;;;;
116;CADASTRO;Notícia de Fato;Consulta básica;Consultar cadastro;;;;;;;
117;CADASTRO;Notícia de Fato;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
118;CADASTRO;Notícia de Fato;Pendência;Verificar pendências geradas ao instaurar ou prorrogar;;;;;;;
119;CADASTRO;Notícia de Fato;Redistribuir;Redistribuir;;;;;;;
120;CADASTRO;Notícia de Fato;Copiar cadastro;Copiar cadastro;;;;;;;
121;CADASTRO;Notícia de Fato;Copiar documento;Copiar documento;;;;;;;
122;CADASTRO;Notícia de Fato;Evoluir;Evoluir;;;;;;;
123;CADASTRO;Notícia de Fato;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;;;;;;
124;CADASTRO;Notícia de Fato;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
125;CADASTRO;Notícia de Fato;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
126;CADASTRO;Notícia de Fato;Emitir recibo;Emitir recibo;;;;;;;
127;CADASTRO;Notícia de Fato;Agenda;Abrir agenda;;;;;;;
128;CADASTRO;Notícia de Fato;Compromisso;Cadastrar compromisso;;;;;;;
129;CADASTRO;Notícia de Fato;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
130;CADASTRO;Notícia de Fato;Auditoria de acessos;Auditar acessos;;;;;;;
131;CADASTRO;Notícia de Fato;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
132;CADASTRO;Notícia de Fato;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
133;CADASTRO;Notícia de Fato;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
134;CADASTRO;Notícia de Fato;Minimizar através do ícone;Minimizar tela;;;;;;;
135;CADASTRO;Notícia de Fato;Restaurar janela minimizada;Maximizar tela;;;;;;;
136;CADASTRO;Notícia de Fato;Fechar através do ícone;Fechar tela;;;;;;;
137;CADASTRO;Notícia de Fato;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
138;CADASTRO;Notícia de Fato;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
139;CADASTRO;Procedimentos;Cadastrar;Registrar um procedimento;;;;;;;
140;CADASTRO;Procedimentos;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
141;CADASTRO;Procedimentos;Abrir cadastro;Abrir cadastro;;;;;;;
142;CADASTRO;Procedimentos;Abrir pasta digital;Abrir pasta digital;;;;;;;
143;CADASTRO;Procedimentos;Emitir documento;Emitir documento;;;;;;;
144;CADASTRO;Procedimentos;Emitir portaria;Emitir portaria de instauração do procedimento;;;;;;;
145;CADASTRO;Procedimentos;Consulta básica;Consultar cadastro;;;;;;;
146;CADASTRO;Procedimentos;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
147;CADASTRO;Procedimentos;Redistribuir;Redistribuir;;;;;;;
148;CADASTRO;Procedimentos;Copiar cadastro;Copiar cadastro;;;;;;;
149;CADASTRO;Procedimentos;Copiar documento;Copiar documento;;;;;;;
150;CADASTRO;Procedimentos;Converter;Converter PP em IC e verificar se o subfluxo do cadastro foi alterado com sucesso;;;;;;;
151;CADASTRO;Procedimentos;Cindir;Cindir procedimento;;;;;;;
152;CADASTRO;Procedimentos;Evoluir;Evoluir;;;;;;;
153;CADASTRO;Procedimentos;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;;;;;;
154;CADASTRO;Procedimentos;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
155;CADASTRO;Procedimentos;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
156;CADASTRO;Procedimentos;Agenda;Abrir agenda;;;;;;;
157;CADASTRO;Procedimentos;Compromisso;Cadastrar compromisso;;;;;;;
158;CADASTRO;Procedimentos;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
159;CADASTRO;Procedimentos;Auditoria de acessos;Auditar acessos;;;;;;;
160;CADASTRO;Procedimentos;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
161;CADASTRO;Procedimentos;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
162;CADASTRO;Procedimentos;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
163;CADASTRO;Procedimentos;Minimizar através do ícone;Minimizar tela;;;;;;;
164;CADASTRO;Procedimentos;Restaurar janela minimizada;Maximizar tela;;;;;;;
165;CADASTRO;Procedimentos;Fechar através do ícone;Fechar tela;;;;;;;
166;CADASTRO;Procedimentos;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
167;CADASTRO;Procedimentos;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
168;CADASTRO;Procedimentos de registro público;Cadastrar;Registrar um procedimento de registro público;;;;;;;
169;CADASTRO;Procedimentos de registro público;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
170;CADASTRO;Procedimentos de registro público;Abrir cadastro;Abrir cadastro;;;;;;;
171;CADASTRO;Procedimentos de registro público;Abrir pasta digital;Abrir pasta digital;;;;;;;
172;CADASTRO;Procedimentos de registro público;Emitir documento;Emitir documento;;;;;;;
173;CADASTRO;Procedimentos de registro público;Consulta básica;Consultar cadastro;;;;;;;
174;CADASTRO;Procedimentos de registro público;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
175;CADASTRO;Procedimentos de registro público;Redistribuir;Redistribuir;;;;;;;
176;CADASTRO;Procedimentos de registro público;Copiar cadastro;Copiar cadastro;;;;;;;
177;CADASTRO;Procedimentos de registro público;Copiar documento;Copiar documento;;;;;;;
178;CADASTRO;Procedimentos de registro público;Evoluir;Evoluir;;;;;;;
179;CADASTRO;Procedimentos de registro público;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;;;;;;
180;CADASTRO;Procedimentos de registro público;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
181;CADASTRO;Procedimentos de registro público;imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
182;CADASTRO;Procedimentos de registro público;Emitir recibo;Emitir recibo;;;;;;;
183;CADASTRO;Procedimentos de registro público;Agenda;Abrir agenda;;;;;;;
184;CADASTRO;Procedimentos de registro público;Compromisso;Cadastrar compromisso;;;;;;;
185;CADASTRO;Procedimentos de registro público;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
186;CADASTRO;Procedimentos de registro público;Auditoria de acessos;Auditar acessos;;;;;;;
187;CADASTRO;Procedimentos de registro público;Abas;Testar todas as abas, campo a campo;;;;;;;
188;CADASTRO;Procedimentos de registro público;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
189;CADASTRO;Procedimentos de registro público;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
190;CADASTRO;Procedimentos de registro público;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
191;CADASTRO;Procedimentos de registro público;Minimizar através do ícone;Minimizar tela;;;;;;;
192;CADASTRO;Procedimentos de registro público;Restaurar janela minimizada;Maximizar tela;;;;;;;
193;CADASTRO;Procedimentos de registro público;Fechar através do ícone;Fechar tela;;;;;;;
194;CADASTRO;Procedimentos de registro público;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
195;CADASTRO;Procedimentos de registro público;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
196;CADASTRO;Atividade não Procedimental;Cadastrar;Registrar uma atividade não procedimental;;;;;;;
197;CADASTRO;Atividade não Procedimental;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
198;CADASTRO;Atividade não Procedimental;Abrir cadastro;Abrir cadastro;;;;;;;
199;CADASTRO;Atividade não Procedimental;Abrir pasta digital;Abrir pasta digital;;;;;;;
200;CADASTRO;Atividade não Procedimental;Emitir documento;Emitir documento;;;;;;;
201;CADASTRO;Atividade não Procedimental;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
202;CADASTRO;Atividade não Procedimental;Redistribuir;Redistribuir;;;;;;;
203;CADASTRO;Atividade não Procedimental;Auditoria de acessos;Auditar acessos;;;;;;;
204;CADASTRO;Atividade não Procedimental;Abas;Testar todas as abas, campo a campo;;;;;;;
205;CADASTRO;Atividade não Procedimental;Quebra de texto no campo resumo da atividade;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
206;CADASTRO;Atividade não Procedimental;Limite do campo resumo da atividade;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
207;CADASTRO;Atividade não Procedimental;Barra de rolagem no campo resumo da atividade;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
208;CADASTRO;Atividade não Procedimental;Minimizar através do ícone;Minimizar tela;;;;;;;
209;CADASTRO;Atividade não Procedimental;Restaurar janela minimizada;Maximizar tela;;;;;;;
210;CADASTRO;Atividade não Procedimental;Fechar através do ícone;Fechar tela;;;;;;;
211;CADASTRO;Atividade não Procedimental;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
212;CADASTRO;Atividade não Procedimental;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
213;CADASTRO;Procedimentos administrativo;Cadastrar;Registrar um procedimento administrativo;;;;;;;
214;CADASTRO;Procedimentos administrativo;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
215;CADASTRO;Procedimentos administrativo;Abrir cadastro;Abrir cadastro;;;;;;;
216;CADASTRO;Procedimentos administrativo;Abrir pasta digital;Abrir pasta digital;;;;;;;
217;CADASTRO;Procedimentos administrativo;Emitir documento;Emitir documento;;;;;;;
218;CADASTRO;Procedimentos administrativo;Emitir portaria;Emitir portaria de instauração do procedimento;;;;;;;
219;CADASTRO;Procedimentos administrativo;Consulta básica;Consultar cadastro;;;;;;;
220;CADASTRO;Procedimentos administrativo;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
221;CADASTRO;Procedimentos administrativo;Redistribuir;Redistribuir;;;;;;;
222;CADASTRO;Procedimentos administrativo;Copiar cadastro;Copiar cadastro;;;;;;;
223;CADASTRO;Procedimentos administrativo;Copiar documento;Copiar documento;;;;;;;
224;CADASTRO;Procedimentos administrativo;Evoluir;Evoluir;;;;;;;
225;CADASTRO;Procedimentos administrativo;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;;;;;;
226;CADASTRO;Procedimentos administrativo;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
227;CADASTRO;Procedimentos administrativo;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
228;CADASTRO;Procedimentos administrativo;Finalizar TAC;Finalizar o procedimento e todas as suas obrigações;;;;;;;
229;CADASTRO;Procedimentos administrativo;Agenda;Abrir agenda;;;;;;;
230;CADASTRO;Procedimentos administrativo;Compromisso;Cadastrar compromisso;;;;;;;
231;CADASTRO;Procedimentos administrativo;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
232;CADASTRO;Procedimentos administrativo;Auditoria de acessos;Auditar acessos;;;;;;;
233;CADASTRO;Procedimentos administrativo;Abas;Testar todas as abas, campo a campo;;;;;;;
234;CADASTRO;Procedimentos administrativo;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
235;CADASTRO;Procedimentos administrativo;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
236;CADASTRO;Procedimentos administrativo;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
237;CADASTRO;Procedimentos administrativo;Minimizar através do ícone;Minimizar tela;;;;;;;
238;CADASTRO;Procedimentos administrativo;Restaurar janela minimizada;Maximizar tela;;;;;;;
239;CADASTRO;Procedimentos administrativo;Fechar através do ícone;Fechar tela;;;;;;;
240;CADASTRO;Procedimentos administrativo;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
241;CADASTRO;Procedimentos administrativo;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
242;CADASTRO;Acompanhamento de Programas;Cadastrar;Registrar um programa;;;;;;;
243;CADASTRO;Acompanhamento de Programas;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
244;CADASTRO;Acompanhamento de Programas;Abrir cadastro;Abrir cadastro;;;;;;;
245;CADASTRO;Acompanhamento de Programas;Abrir pasta digital;Abrir pasta digital;;;;;;;
246;CADASTRO;Acompanhamento de Programas;Emitir documento;Emitir documento;;;;;;;
247;CADASTRO;Acompanhamento de Programas;Consulta básica;Consultar cadastro;;;;;;;
